Time,Open,High,Low,Close,Volume
20201116090019,17020,17020,17020,17020,881506
20201116090019,17020,17020,17020,17020,7370
20201116090020,17020,17020,17020,17020,7370
20201116090020,17020,17020,17020,17020,7370
20201116090020,17020,17020,17020,17020,7370
20201116090020,17020,17020,17020,17020,4023
20201116090020,17025,17025,17025,17025,3347
20201116090020,17025,17025,17025,17025,7370
20201116090020,17025,17025,17025,17025,7370
20201116090020,17025,17025,17025,17025,3501
20201116090020,17030,17030,17030,17030,16499
20201116090020,17030,17030,17030,17030,20000
20201116090020,17030,17030,17030,17030,6980
20201116090020,17035,17035,17035,17035,3074
20201116090020,17035,17035,17035,17035,7665
20201116090020,17040,17040,17040,17040,6135
20201116090020,17040,17040,17040,17040,7370
20201116090020,17040,17040,17040,17040,7370
20201116090020,17035,17035,17035,17035,62
20201116090020,17035,17035,17035,17035,50
20201116090020,17035,17035,17035,17035,50
20201116090020,17035,17035,17035,17035,18
20201116090020,17035,17035,17035,17035,5
20201116090020,17035,17035,17035,17035,53
20201116090020,17035,17035,17035,17035,500
20201116090020,17035,17035,17035,17035,34
20201116090020,17035,17035,17035,17035,13
20201116090020,17035,17035,17035,17035,28
20201116090020,17035,17035,17035,17035,1015
20201116090020,17035,17035,17035,17035,1
20201116090020,17035,17035,17035,17035,6
20201116090020,17035,17035,17035,17035,5
20201116090020,17040,17040,17040,17040,7370
20201116090020,17040,17040,17040,17040,7370
20201116090020,17035,17035,17035,17035,10
20201116090020,17035,17035,17035,17035,100
20201116090020,17040,17040,17040,17040,12900
20201116090020,17040,17040,17040,17040,8117
20201116090020,17040,17040,17040,17040,80
20201116090020,17040,17040,17040,17040,593
20201116090020,17045,17045,17045,17045,7370
20201116090020,17045,17045,17045,17045,7370
20201116090020,17045,17045,17045,17045,11
20201116090020,17040,17040,17040,17040,31
20201116090020,17040,17040,17040,17040,30
20201116090020,17045,17045,17045,17045,587
20201116090020,17045,17045,17045,17045,11
20201116090020,17040,17040,17040,17040,22
20201116090020,17040,17040,17040,17040,5
20201116090020,17045,17045,17045,17045,1
20201116090020,17040,17040,17040,17040,2
20201116090020,17040,17040,17040,17040,6
20201116090020,17040,17040,17040,17040,20
20201116090020,17045,17045,17045,17045,7370
20201116090020,17045,17045,17045,17045,1
20201116090020,17040,17040,17040,17040,1015
20201116090020,17045,17045,17045,17045,84
20201116090020,17050,17050,17050,17050,7286
20201116090020,17040,17040,17040,17040,179
20201116090020,17040,17040,17040,17040,106
20201116090020,17050,17050,17050,17050,11
20201116090020,17040,17040,17040,17040,20
20201116090020,17040,17040,17040,17040,5
20201116090020,17040,17040,17040,17040,6
20201116090020,17045,17045,17045,17045,71
20201116090020,17050,17050,17050,17050,7370
20201116090020,17040,17040,17040,17040,77
20201116090020,17040,17040,17040,17040,498
20201116090020,17040,17040,17040,17040,100
20201116090020,17050,17050,17050,17050,7370
20201116090020,17045,17045,17045,17045,1
20201116090020,17040,17040,17040,17040,999
20201116090020,17040,17040,17040,17040,20
20201116090020,17045,17045,17045,17045,100
20201116090020,17045,17045,17045,17045,33
20201116090020,17045,17045,17045,17045,33
20201116090020,17045,17045,17045,17045,175
20201116090020,17045,17045,17045,17045,33
20201116090021,17045,17045,17045,17045,150
20201116090021,17045,17045,17045,17045,30
20201116090021,17050,17050,17050,17050,7370
20201116090021,17045,17045,17045,17045,1
20201116090021,17040,17040,17040,17040,399
20201116090021,17040,17040,17040,17040,36
20201116090021,17040,17040,17040,17040,136
20201116090021,17045,17045,17045,17045,1424
20201116090021,17045,17045,17045,17045,30
20201116090021,17050,17050,17050,17050,1
20201116090021,17050,17050,17050,17050,4611
20201116090021,17050,17050,17050,17050,136
20201116090021,17050,17050,17050,17050,200
20201116090021,17045,17045,17045,17045,30
20201116090021,17045,17045,17045,17045,142
20201116090021,17045,17045,17045,17045,200
20201116090021,17045,17045,17045,17045,297
20201116090021,17045,17045,17045,17045,2
20201116090021,17040,17040,17040,17040,132
20201116090021,17045,17045,17045,17045,2
20201116090021,17040,17040,17040,17040,266
20201116090021,17035,17035,17035,17035,3047
20201116090021,17055,17055,17055,17055,320
20201116090021,17045,17045,17045,17045,1
20201116090021,17035,17035,17035,17035,345
20201116090021,17035,17035,17035,17035,925
20201116090021,17035,17035,17035,17035,217
20201116090021,17035,17035,17035,17035,319
20201116090021,17035,17035,17035,17035,136
20201116090021,17045,17045,17045,17045,2
20201116090021,17035,17035,17035,17035,134
20201116090021,17045,17045,17045,17045,2
20201116090021,17035,17035,17035,17035,146
20201116090021,17035,17035,17035,17035,1
20201116090021,17035,17035,17035,17035,720
20201116090021,17045,17045,17045,17045,1
20201116090021,17035,17035,17035,17035,135
20201116090021,17040,17040,17040,17040,1
20201116090021,17035,17035,17035,17035,433
20201116090021,17035,17035,17035,17035,23
20201116090021,17040,17040,17040,17040,1
20201116090021,17035,17035,17035,17035,52
20201116090021,17040,17040,17040,17040,1
20201116090021,17035,17035,17035,17035,93
20201116090021,17040,17040,17040,17040,1
20201116090021,17035,17035,17035,17035,40
20201116090021,17035,17035,17035,17035,804
20201116090021,17035,17035,17035,17035,26
20201116090021,17040,17040,17040,17040,1
20201116090021,17040,17040,17040,17040,1
20201116090021,17035,17035,17035,17035,301
20201116090021,17035,17035,17035,17035,1
20201116090021,17035,17035,17035,17035,4
20201116090021,17040,17040,17040,17040,1
20201116090021,17035,17035,17035,17035,192
20201116090022,17040,17040,17040,17040,1
20201116090022,17040,17040,17040,17040,1
20201116090022,17040,17040,17040,17040,1
20201116090022,17035,17035,17035,17035,156
20201116090022,17040,17040,17040,17040,1
20201116090022,17040,17040,17040,17040,223
20201116090022,17040,17040,17040,17040,1
20201116090022,17040,17040,17040,17040,1
20201116090022,17040,17040,17040,17040,1
20201116090022,17035,17035,17035,17035,87
20201116090022,17035,17035,17035,17035,100
20201116090022,17035,17035,17035,17035,1
20201116090022,17035,17035,17035,17035,7370
20201116090022,17035,17035,17035,17035,1
20201116090022,17035,17035,17035,17035,5341
20201116090022,17040,17040,17040,17040,1
20201116090022,17040,17040,17040,17040,1
20201116090022,17035,17035,17035,17035,40
20201116090022,17040,17040,17040,17040,1
20201116090022,17035,17035,17035,17035,100
20201116090022,17030,17030,17030,17030,24
20201116090022,17040,17040,17040,17040,358
20201116090022,17040,17040,17040,17040,1
20201116090022,17030,17030,17030,17030,100
20201116090022,17040,17040,17040,17040,1
20201116090022,17040,17040,17040,17040,10
20201116090022,17030,17030,17030,17030,1500
20201116090022,17040,17040,17040,17040,1
20201116090022,17040,17040,17040,17040,1
20201116090022,17030,17030,17030,17030,2
20201116090023,17040,17040,17040,17040,1
20201116090023,17030,17030,17030,17030,100
20201116090023,17040,17040,17040,17040,1
20201116090023,17040,17040,17040,17040,119
20201116090023,17040,17040,17040,17040,1754
20201116090023,17035,17035,17035,17035,1
20201116090023,17035,17035,17035,17035,249
20201116090023,17040,17040,17040,17040,751
20201116090023,17030,17030,17030,17030,5
20201116090023,17030,17030,17030,17030,100
20201116090023,17030,17030,17030,17030,347
20201116090023,17025,17025,17025,17025,9314
20201116090023,17020,17020,17020,17020,1000
20201116090023,17025,17025,17025,17025,3000
20201116090023,17025,17025,17025,17025,118
20201116090023,17025,17025,17025,17025,20
20201116090023,17025,17025,17025,17025,7370
20201116090023,17020,17020,17020,17020,2029
20201116090023,17020,17020,17020,17020,1000
20201116090023,17020,17020,17020,17020,200
20201116090023,17020,17020,17020,17020,500
20201116090024,17015,17015,17015,17015,12900
20201116090024,17015,17015,17015,17015,10054
20201116090024,17015,17015,17015,17015,52414
20201116090024,17020,17020,17020,17020,524
